commodity_desc,reference_period_desc,year,state_ansi,state_name,county_ansi,county_name,asd_code,asd_desc,domain_desc,source_desc,agg_level_desc,"PRODUCTION, MEASURED IN BU","YIELD, MEASURED IN BU / ACRE"
WHEAT,YEAR,2016,05,ARKANSAS,003,ASHLEY,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,23000.0,38.3
WHEAT,YEAR,2016,05,ARKANSAS,029,CONWAY,50,CENTRAL,TOTAL,SURVEY,COUNTY,87000.0,54.4
WHEAT,YEAR,2016,05,ARKANSAS,031,CRAIGHEAD,30,NORTHEAST,TOTAL,SURVEY,COUNTY,126000.0,52.5
WHEAT,YEAR,2016,05,ARKANSAS,035,CRITTENDEN,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,850000.0,61.2
WHEAT,YEAR,2016,05,ARKANSAS,037,CROSS,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,321000.0,69.8
WHEAT,YEAR,2016,05,ARKANSAS,067,JACKSON,30,NORTHEAST,TOTAL,SURVEY,COUNTY,490000.0,52.1
WHEAT,YEAR,2016,05,ARKANSAS,077,LEE,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,382000.0,42.9
WHEAT,YEAR,2016,05,ARKANSAS,085,LONOKE,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,115000.0,46.0
WHEAT,YEAR,2016,05,ARKANSAS,107,PHILLIPS,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,753000.0,50.5
WHEAT,YEAR,2016,05,ARKANSAS,111,POINSETT,30,NORTHEAST,TOTAL,SURVEY,COUNTY,142000.0,54.6
WHEAT,YEAR,2016,05,ARKANSAS,123,SAINT FRANCIS,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,99000.0,49.5
WHEAT,YEAR,2016,05,ARKANSAS,147,WOODRUFF,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,254000.0,65.1
WHEAT,YEAR,2016,06,CALIFORNIA,021,GLENN,50,SACRAMENTO VALLEY,TOTAL,SURVEY,COUNTY,330000.0,67.3
WHEAT,YEAR,2016,06,CALIFORNIA,029,KERN,51,SAN JOAQUIN VALLEY,TOTAL,SURVEY,COUNTY,1140000.0,69.1
WHEAT,YEAR,2016,06,CALIFORNIA,039,MADERA,51,SAN JOAQUIN VALLEY,TOTAL,SURVEY,COUNTY,200000.0,100.0
WHEAT,YEAR,2016,06,CALIFORNIA,067,SACRAMENTO,50,SACRAMENTO VALLEY,TOTAL,SURVEY,COUNTY,360000.0,102.9
WHEAT,YEAR,2016,06,CALIFORNIA,077,SAN JOAQUIN,51,SAN JOAQUIN VALLEY,TOTAL,SURVEY,COUNTY,1290000.0,107.5
WHEAT,YEAR,2016,06,CALIFORNIA,095,SOLANO,50,SACRAMENTO VALLEY,TOTAL,SURVEY,COUNTY,790000.0,71.8
WHEAT,YEAR,2016,06,CALIFORNIA,099,STANISLAUS,51,SAN JOAQUIN VALLEY,TOTAL,SURVEY,COUNTY,155000.0,96.9
WHEAT,YEAR,2016,06,CALIFORNIA,101,SUTTER,50,SACRAMENTO VALLEY,TOTAL,SURVEY,COUNTY,390000.0,78.0
WHEAT,YEAR,2016,06,CALIFORNIA,107,TULARE,51,SAN JOAQUIN VALLEY,TOTAL,SURVEY,COUNTY,1650000.0,74.0
WHEAT,YEAR,2016,08,COLORADO,001,ADAMS,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,6196000.0,46.6
WHEAT,YEAR,2016,08,COLORADO,005,ARAPAHOE,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,2218000.0,36.7
WHEAT,YEAR,2016,08,COLORADO,039,ELBERT,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,1772000.0,54.7
WHEAT,YEAR,2016,08,COLORADO,061,KIOWA,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,5675000.0,39.1
WHEAT,YEAR,2016,08,COLORADO,063,KIT CARSON,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,15225000.0,53.4
WHEAT,YEAR,2016,08,COLORADO,071,LAS ANIMAS,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,76000.0,29.2
WHEAT,YEAR,2016,08,COLORADO,073,LINCOLN,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,6954000.0,47.8
WHEAT,YEAR,2016,08,COLORADO,075,LOGAN,20,NORTHEAST,TOTAL,SURVEY,COUNTY,5067000.0,44.4
