histogram_200,histogram_201,histogram_202,histogram_203,histogram_204,histogram_205,histogram_206,histogram_207,histogram_208,histogram_209,fips,year,month
2059,900,214,86,72,43,43,41,27,18,08001,2017,5
3448,2494,1630,1021,591,302,163,111,40,16,08001,2017,7
11,7,0,2,4,1,2,1,1,2,08001,2017,9
2059,900,214,86,72,43,43,41,27,18,01003,2017,5
3448,2494,1630,1021,591,302,163,111,40,16,01003,2017,7
11,7,0,2,4,1,2,1,1,2,01003,2017,9
